Partner,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,19178197903,22218649074,19599303927,21804647444,27626182324,31161378813,26123737344,26681740360,25032402498,22149268573,24526835921
Switzerland,17039261465,22023645856,17504409869,20703849321,24486242385,26406154155,26558942638,22204420118,22154240851,22797586099,21684835238
United Arab Emirates,10786648688,14417398443,12210863357,11662455901,15921629417,22559108724,24476064517,22115343552,23001078211,22387993944,20019696481
Italy,14149624058,15460835761,12268011950,14219893087,16037489503,16097123281,16757095740,16968945258,16212487317,16724153237,18404689805
Saudi Arabia,10395890781,12484248431,10792157268,11506200861,13923664673,17961238469,18962914928,18716920271,19791575408,17999523552,16348000104
Chile,8148107198,11857443806,9345620179,10906674806,15993031002,18773140514,17515894876,16541390489,15448915234,12936522921,13605342592
Colombia,8557677097,11437270464,9451459411,12067665283,14335692038,16356802727,18371032417,20066601912,16302184612,13047256978,13312122946
Malaysia,11680201598,12949454144,10403284106,14079484478,14264019831,12817723181,13015887589,13068986012,12277705641,11832305679,12964461912
Israel,12887477039,14486863157,9559356487,11295020595,13961616095,14273498432,13743691038,15072955424,13539211555,13197721047,12550082579
Spain,9766108527,12189817902,8716930087,10355445923,11031589790,9551906914,10244036471,10199805485,10310080790,10399845032,11063740551
Thailand,8336419189,9066556735,6918398273,8976381744,10929873027,10887802586,11797010707,11814963097,11228763356,10467438561,10991613094
Ireland,7776969775,7610825492,7465002762,7275841853,7657624847,7392737072,6632235721,7807755566,8930613964,9565394692,10707555883
Turkey,6498756060,9958671254,7094632437,10538481925,14695214372,12474727209,12078652726,11650079451,9519509918,9354500429,9741491909
Argentina,5855853074,7536315425,5568885625,7392136090,9898793593,10258063599,10351132910,10822941337,9361856868,8511489313,9585957928
Peru,4119773437,6182968633,4918842351,6749545624,8341864469,9348621449,10120124634,10055208643,8723968906,7926958427,8662612010
Philippines,7712299275,8294867172,5766367618,7376713359,7727870939,8087361107,8403390567,8453447361,7903089702,8199346313,8450925039
Vietnam,1903057411,2789448762,3097194382,3705548752,4315220420,4622882579,5036763709,5732472749,7100571980,10098688572,8133364685
Dominican Republic,6084052712,6594369844,5268819948,6579238536,7325686377,6967401065,7158187556,7928084046,7114647370,7750963609,7827520352
Russian Federation,7283267667,9334581764,5332081493,5993665458,8318439250,10695291383,11144747483,10752405030,7086515412,5792498456,6998497148
Guatemala,4065051130,4718262816,3874527192,4476851241,6151169676,5748945279,5554588951,6045632737,5821086031,5835214087,6895337671
Indonesia,3969656878,5644478295,5106983972,6947852910,7421405814,7997976489,9106545145,8281008846,7118132992,6025671203,6863831289
Panama,3669201342,4887253843,4292943517,6065898991,8251646494,9828759247,10564548080,10140091953,7668879989,6069290929,6301303156
Costa Rica,4580459896,5679825053,4699532055,5178268088,6099250515,7236638312,7223384099,6946684851,6044943080,5869560034,6169608810
Norway,3040287529,3292198210,2789788721,3099984444,3629656458,3501159741,4616023641,4420750352,3570413531,3919853259,5453370720
Kuwait,2484016406,2719345826,1951143424,2774766577,2749651553,2681906798,2597538635,3649177022,2740651183,3296612869,5143414006
Honduras,4461359257,4846217272,3367600743,4606443933,6166370382,5714670349,5420255599,5961469116,5216351054,4827518554,5079663953
South Africa,5521396823,6490469811,4452643478,5631664767,7271282389,7552773511,7293400316,6375482804,5457293361,4597488728,5020062464
Ecuador,2935648657,3450017348,3937889182,5409439121,6078061107,6692731994,7678971679,8253758695,5818404323,4164018927,4820700634
Poland,3123428696,4130606117,2301516671,2982925333,3143110865,3346364002,3778311068,3660578608,3715464005,3657249292,4523318939
Austria,3109855557,2649130446,2536845631,2428561443,2893301793,3419658018,3519942333,3824796663,4024271450,3795603391,4275263150
"Venezuela, RB",10200506826,12610041006,9315456954,10644795910,12383426246,17516968263,13200529914,11178341652,8343600405,5210558030,4133114819
Egypt,5259281033,6002196132,5253082399,6832542194,6228228507,5498319529,5175215624,6483088214,4758797408,3484753990,3991832766
New Zealand,2717562746,2533906801,2158504659,2820164709,3581197846,3228539259,3225401631,4257761816,3630673018,3574913255,3924611227
Sweden,4472726015,5018258734,4560785212,4739888118,5265007755,5247930905,4318640022,4336699085,3939001935,3814097316,3734457331
Qatar,2523625528,2715854933,2713238087,3159769790,2806681719,3577715161,4957973407,5172548120,4222427990,4926953179,3124095821
El Salvador,2313065522,2461953266,2018691710,2433816689,3371560160,3095701213,3250238283,3305789664,3248766493,2918726688,3057896029
"Bahamas, The",2468442608,2759541038,2504043054,3177987377,3441983410,3479076670,3447977493,3321494154,2386947221,2096791387,3057271998
Pakistan,1943577099,1897845402,1617950218,1901071676,1988785840,1530065196,1645795477,1512816427,1837956984,2107771530,2808166960
Paraguay,1236732017,1609936531,1355033256,1810053906,1977345845,1743208491,1932782887,2115595792,1491695557,1970327858,2719236832
Czech Republic,1262342930,1378420100,969635528,1410841262,1684705096,1832279706,1943358124,2302565213,1977042266,1966464888,2273780613
Morocco,1294157002,1435863486,1630259886,1947613644,2823307066,2170396557,2483726772,2101654296,1624802519,1932699862,2219661823
Denmark,2889652859,2711049826,2056087203,2132446964,2247948078,2224454815,2231067390,2360633497,2202790668,2238312337,2210191808
Nigeria,2777942084,4102387055,3687083853,4060548125,4904789052,5029335221,6388352516,5965869381,3431360217,1894504936,2170069073
Jamaica,2315958604,2643366812,1440576002,1661396570,1934143237,1989288661,1979623696,2180230756,1716058129,1649749223,2105505325
Oman,1059179720,1381973854,1126324482,1105209532,1436672881,1746916573,1570964193,2014250100,2355321858,1804117841,1985049832
Jordan,856173325,940321131,1191811231,1172174641,1449688144,1766366354,2085026459,2050123121,1359622137,1459136651,1920886330
Hungary,1291867910,1430952895,1232876763,1290393339,1479338284,1566156776,1726956134,1843893619,1715272285,1844503835,1888233492
Trinidad and Tobago,1779841581,2250213184,1988348722,1924931875,2185137885,2477825749,2408396126,2411378967,2511636101,2341485943,1816745419
Ukraine,1342099159,1868037332,886859797,1348816161,2138824978,1936270509,1924811744,1239036086,862158955,1076697582,1787999300
Uruguay,640772589,893056253,745087443,975277447,1258319413,1359476870,1754607247,1606555041,1295135756,1114386761,1599284155
Nicaragua,889963276,1094246692,715129472,981363718,1058585304,1128213231,1059306367,1008556849,1267399287,1479953636,1589398811
Finland,3133422316,3760847433,1661981706,2179532042,3158720581,2566206117,2349052218,2150208015,1559846104,1573470891,1534930626
Bangladesh,455985590,468054418,434568444,575698015,1144148134,508180705,708777580,1113229387,942520126,905690601,1473961033
Haiti,680188060,943991127,790406627,1208576616,1058948781,1050229529,1227113799,1273739041,1140569428,1090783723,1410575337
Lebanon,825888292,1463832577,1852147275,2009038480,1807311627,1039943000,1034263176,1267896689,1286046233,1170433918,1221529041
Iraq,1560201195,2069789108,1772408085,1643064073,2400364843,2053842278,2003374954,2105888234,1973385477,1266318023,1204721644
Portugal,2478481445,2645976274,1084847582,1057882127,1315990308,1097095847,844350936,1120670649,942300758,967411109,1192459324
Gibraltar,593945617,2640683545,1086961229,1494144556,3148591117,5109058460,3576397600,2530894164,1979387908,1634173658,1126417629
Luxembourg,925549780,988035453,1292061259,1439673708,1585845119,1903143233,1848801276,1516227821,1393819297,1446102118,1078074731
Algeria,1652434839,1243228549,1107826652,1194325446,1596975135,1363163393,1848703921,2616922429,1875732769,2191261625,1059840617
Aruba,528763861,680253631,445673618,540475447,713268343,710275291,1099787667,1300152489,1167593143,801039787,966305683
Greece,2110206007,1931570736,2487064064,1106453110,1130969963,804136728,739038829,773336519,725598644,746607210,960728649
Romania,676587084,1048179130,672003377,729792681,918551681,832745398,746508997,977213972,753747879,696238959,954684233
Afghanistan,495283664,481633366,1508592966,2151400794,2921861778,1521555394,1410116220,812720949,478711524,912724175,941428060
Bahrain,591325145,829534521,667407395,1235144570,1214407158,1176914298,1026301420,1060074551,1270680873,899527384,898156400
Cayman Islands,640184709,745896003,643342674,581661967,616500045,667727178,680366150,814123446,684937295,753283981,885800982
Ethiopia,167478262,301580906,266866655,773159838,689890633,1274672068,688507736,1668912927,1555249376,826095277,877152409
Ghana,416384899,608412179,715935461,989339154,1199086566,1322494666,981388029,1186287465,949974971,831994825,859971235
Angola,1242031263,2019179085,1423050894,1293490947,1503222549,1490579464,1443395524,2039267110,1166094807,1249758184,809444868
Bermuda,660014871,821682240,807392576,636569462,611441769,622432927,537422110,646715539,600833287,628260720,693650060
Curacao,0,0,0,0,484200988,691942132,687514148,611598106,521257313,876886735,692167798
Lithuania,720302048,831259516,398538386,628120466,1141936078,756983833,854235543,681234694,528184140,463689797,609272207
Bolivia,277677271,389305755,431413764,507981144,667847026,763010279,1051415463,1008600641,931791231,657280710,594703634
St. Lucia,165252471,241025030,136219773,401530949,315651418,376957631,594301914,693823181,515415136,438802252,572438902
Marshall Islands,22887016,25148907,77579432,91184680,143791762,142133251,65478036,94570567,53807652,283324468,556988101
Kazakhstan,752764327,985519036,603491712,730293302,827138922,883647324,1150177842,1007956900,510474553,1111379224,552092011
Sint Maarten,0,0,0,0,397678059,702440846,828898068,777566086,741426745,714830406,545156190
Tunisia,402999020,502430863,501332614,572780850,597007683,614865677,907186423,831395799,602417422,526961584,543575125
Barbados,456986883,497390029,404773424,397391831,439876711,458567570,453339832,539925837,595421661,481879815,525452357
Macau; SAR of China,226447445,306742843,209196460,225189155,291499829,345460636,351203334,433391819,542389229,632047124,502136131
Togo,287594314,117125699,124798314,157620745,209689039,370550165,1007500845,1024635368,311816374,229466464,481810854
Kenya,520374633,442372404,653631512,375348785,461441784,568583714,635695507,1640826022,943453507,397473456,454453344
Croatia,247039191,466762837,201742862,311801078,511383383,310054427,308852551,339595076,332091863,290917714,447955755
Slovak Republic,503251782,547543286,209588452,255851944,302411668,335549229,295818376,445176240,379538474,293196145,441620058
Antigua and Barbuda,240400286,182521043,156889923,158339672,154792008,204627966,145103078,216602773,677669756,261509683,425623529
Cambodia,138840903,154175269,127090376,153825031,186568289,226404530,241220345,328091257,391095256,360731305,400220962
Iceland,629632708,469500222,349502029,324882989,628054455,370820354,513396894,374921407,415457850,447778485,399258756
Georgia,364236656,586464121,363773252,300877770,580009236,541253019,601244307,627551843,340495811,324457252,382865271
Latvia,381391440,393968241,288594228,344952057,585962167,514791562,494564967,428187574,267104491,272987619,381621395
Bulgaria,306140544,509444129,224157518,170881502,258589821,248545279,307323074,358890290,289480371,269019463,381490292
Guyana,187879827,288518675,260367286,290703439,363441299,359571070,318863043,369986060,368134263,444443653,377349484
British Virgin Islands,176177065,309884797,232953888,145778454,151474267,171759131,312726797,387827784,259758571,332920621,377227746
Slovenia,296840744,309595949,243645097,328108783,668166646,307877888,269491341,301210859,346054314,331367134,371602049
Turks and Caicos Islands,395783826,434413482,247865657,189434305,204953122,209629786,225789558,281915001,279679103,296603738,369866125
Suriname,303625324,406402258,380392824,362090799,433918837,499266829,449846279,519004152,443632080,303515870,359542397
Azerbaijan,177607684,239100656,185236612,252516882,337884996,492623482,380998744,950256109,478052857,433531009,354555299
Sri Lanka,227147226,283253936,229571323,178740142,303547816,223950414,311911749,350640136,361949974,367855265,336255590
C??te d'Ivoire,161604087,254110055,206048254,162845207,131405294,188087985,167433243,239077767,266415065,291255359,319964133
Belize,234216134,352655245,252698520,289388047,355682393,265606023,240629948,236680434,285287151,267018643,294920783
Malta,207214338,253437906,208459569,457387915,752427011,390983065,563593854,917602024,490665964,292465016,293009573
Cuba,447061040,711500939,532777218,363112464,363316479,464458419,359609641,299064037,185718367,241836581,291276873
Turkmenistan,127290102,59705800,293658852,39965764,70967048,92019532,261778552,455524961,80832991,106203204,282178944
Estonia,242279007,225553251,189474502,187880428,309602800,235986120,293183114,308546003,288591562,256554799,273958646
Benin,289417071,846307384,397376762,462534820,617574838,572964557,605242564,780867876,631352383,235029017,250135870
Guadeloupe,139085169,383935772,205820935,364529841,430951509,502522818,642437801,426604654,100959536,145106536,244842196
Saint Kitts and Nevis,110676625,123894416,108056908,131030912,115840644,106150374,142958744,180068984,149735796,144530266,243537203
Myanmar,8709851,10755671,6906838,9650957,48949883,65765942,145830603,92856414,227309852,195575356,211368799
Senegal,150414680,137103698,175723538,218782926,265150828,149125719,229108446,170875243,198825180,184318081,207934050
"Yemen, Rep.",642086903,401463803,381131640,397765730,389745032,469466337,518251949,368898721,158009761,170867053,199030638
Mozambique,114979532,213387796,189612914,224019682,459242488,351608971,303016499,375163570,264203995,149440989,179126068
Dominica,83832387,105399066,76601184,72843630,73675432,78934015,77679144,64186171,67312046,51088419,178447184
Martinique,193908207,288848377,263426197,296799785,339595962,370668017,381786515,331415726,132669428,144639404,168255979
French Guiana,31342950,18032587,16758205,35703949,56718244,209231252,631200449,281020776,1073642767,678020087,162743230
Cameroon,132920223,125067070,153522465,132270395,220567654,253043417,335737087,301072860,224918873,189770772,158845783
Djibouti,58934056,140825944,196482984,122793059,129175500,118841640,164483264,110910147,144707679,132530717,157467862
Tanzania,173961966,169325571,157948337,163499769,260183381,245389981,411953494,302129379,172816873,157566013,145242068
Liberia,75769497,156687752,94745252,191351777,195207824,241089095,173207630,184502715,135815547,158025481,138340637
Uzbekistan,88754314,300659063,97536884,101148237,102560932,284611052,356435025,212945403,137962928,317880066,136094699
Iran,144697312,683175698,280371712,211398345,233183160,251122746,308142294,186701987,281916260,171950515,136000618
Libya,510834249,720871828,665507651,665533976,307238676,549022033,864473039,532031879,231336899,190107750,134952674
Mauritania,102657391,106603830,56280371,84343006,243310966,291593870,244685427,148823898,126279168,116252672,127777390
Serbia,109583090,207357458,112594021,104469213,126632272,127658133,141973440,135035904,126269420,145142099,125604552
Brunei,139629502,111514845,100205408,124168019,184371635,157609639,558297839,549210120,133446638,614355682,121111606
French Polynesia,124414483,130331165,112758869,121590707,126618809,129855209,126189637,129553300,120041979,100040487,119798493
Namibia,127834398,280324325,202339839,110184585,136564152,184614633,235244409,342745211,127617698,212941266,118561677
"Congo, Rep.",140034863,184589852,276930001,254428015,227293001,237200621,222397877,321645703,249208061,130887171,117378013
Equatorial Guinea,236399700,184514829,305594459,272137422,285394250,233161535,756139906,574773691,161963013,278439393,111936150
Uganda,80348803,88525002,119061119,93513814,94038056,100125293,122740389,78262341,88239289,69059910,107869624
Papua New Guinea,65888833,70047324,217804185,186079364,304028723,391381919,166733845,143251616,207793894,126318312,105851898
Guinea,73531245,101802826,94793067,85061952,256160269,154622237,79462980,65185635,135284129,84190133,103022431
Grenada,83264328,84437130,59211758,71243438,81834405,72112543,95251167,84018256,90473526,86783366,102991413
Botswana,53844794,62177868,93244580,48496947,44273591,47983957,82090829,52861554,39286454,42427382,93045279
Gabon,477645795,283989863,170755956,242998852,205151050,319048462,307983525,417347288,203872443,85017523,89006490
Zambia,69394927,78704324,57273292,56415126,129784635,146788830,141148845,114121914,84170835,81624741,85149483
Cyprus,169018830,217395819,179127346,134395198,97699749,166867197,143223588,151624371,101836735,182503492,82401930
Mongolia,26032828,57248374,40514385,115518352,315176816,664955251,279573362,167478862,69177420,55261990,82192362
Saint Vincent and the Grenadines,68952798,82692856,74851479,85970257,80602721,98707927,93180570,103619626,84722498,93595862,81348131
Sierra Leone,55420539,59360501,42537601,61057483,102791973,100735979,82411287,87931206,77325724,63175925,79185252
"Congo, Dem. Rep.",112907113,130318867,79486985,93267329,165925390,199549248,169825711,181865401,136130785,82754412,76260999
Nepal,28966464,28543659,31006805,28269192,40354262,37013899,32513730,36334623,36414272,40457524,75851857
Belarus,101544112,134460264,137247760,133148863,156543879,102025447,95141886,93385923,59235576,195011717,72668182
Somalia,20693618,64345393,4099468,1457879,6081543,16734553,15959166,35653738,45026584,38827482,70594917
Sudan,79129315,143305018,78414774,115617732,74694129,55491290,88268450,77168737,59514997,55522616,69654352
Fiji,29942761,55020240,31172353,43972153,42628530,55608118,66885504,79501650,56904585,55049117,66551898
Rwanda,16050053,20449259,34145955,30608174,119651782,30489992,25191269,21219489,14281660,74666080,66140569
Albania,33965115,40031060,48018565,46432350,47562162,54082290,74364825,51256821,30897665,50293415,62086804
Mali,31901355,30908863,36747987,37274320,55077612,59745089,49893003,38462373,72426079,73058346,62015550
Mauritius,49793601,51280301,70031102,40027845,46369941,95986858,42095310,35525527,58435311,86956655,61421605
Burkina Faso,33139512,24492570,25823754,46587532,33260220,47276772,78571883,73991538,53875343,35387428,60978397
Anguilla,92544430,81032495,52914578,35575958,31193536,27409044,31037512,58385175,47602633,42896633,59409382
New Caledonia,57785454,89120063,77859989,108035793,115339950,75103196,72868672,121389089,88666191,65911535,59362579
Armenia,110609110,151418421,77094568,113450618,94316257,64299297,91221471,60410659,50246170,43578116,55005606
Madagascar,32129605,70754620,105868563,115994454,56283902,64275029,64007569,46811501,54553731,41971534,53367175
"Micronesia, Fed. Sts.",37824810,54502889,51947959,42389761,44072040,51491652,41566161,41523205,40032615,42970200,44827548
Niger,69308772,50007174,58240607,48886203,48152287,37367471,46194680,58530382,71605993,66301431,44082049
Monaco,42757654,62734955,17968911,49192767,20664012,24306080,465907393,127638099,71128048,69242270,42263572
"Macedonia, FYR",33561327,36114737,34837071,33332833,29456706,21117500,54778259,33850337,30678977,45859529,41225784
Zimbabwe,105250099,92874918,85459651,67565121,61598378,53478276,60513567,48706474,37844983,30061773,39926035
Gambia,20000988,28878320,33648113,29253787,29366112,27458509,34135359,41538614,37447980,40003766,39235769
Samoa,16716327,13306266,18683664,19124418,23786831,24702919,28394642,22948737,22719660,27967248,38309271
British Indian Ocean Territory,978717,1345244,1774962,1479708,2212415,2725208,762058,2099098,581016,5456460,36334868
Bhutan,4050496,3960013,2742299,3504719,3838631,2488897,2351165,2422028,2648656,1975599,34892754
Maldives,19321264,20294509,17424044,28284498,44835389,30051856,28778952,28985734,35136130,30969447,34373287
Chad,66242263,62515460,62689577,89670008,35450336,36551674,41460707,66491850,56591528,32817284,31338485
Malawi,51499475,44943925,40423565,37001180,56973282,63951198,54498745,50669581,37201602,46613125,27880840
Liechtenstein,16183424,29259009,23482968,29267415,62346285,21972859,22055946,31102552,35475476,24575172,27744402
Bosnia and Herzegovina,20153042,34113666,21290698,26349510,21331785,15869518,38481079,46080139,27523733,29365009,27142924
Kyrgyz Republic,48651043,44287417,56761574,79407764,101878738,145493810,106251152,71725049,32003481,20012459,26066859
Lao People's Democratic Republic,5464940,18346685,20321593,12644576,26084818,33494345,24400348,28713310,24584007,30878093,25671660
Swaziland,29002898,12120383,14552515,23582688,20075203,40226860,22681861,25679849,28521751,25610904,24073435
Palau,13803500,14065965,14796127,14157003,16831030,16755532,18237634,20521307,25634214,25694149,19432665
Tajikistan,52685573,51428157,41171507,57013199,178246296,54186972,51874112,24503388,18985373,21323840,17911115
Moldova,52668339,66237298,26644083,37813517,39569462,38267976,45602639,35188566,16163682,14996342,17614764
Tonga,13233104,13730360,12942138,20678902,19269574,26892624,19238838,20031820,13817538,15215855,16719457
Seychelles,9473317,24967766,34068446,10681706,13056829,14968779,12189931,12451133,18546349,12481272,15488847
South Sudan,0,0,0,0,7361905,32540784,13417224,46148430,19613532,9739895,13574310
Central African Republic,19747922,23302776,31485494,10339636,12335446,8515840,4103350,32322366,34309874,9418675,11178603
Kosovo,0,0,5002266,11183045,15572116,20832234,14544129,16343893,19743318,18355903,10070786
Greenland,4418684,34892248,7072819,8577516,7302165,15856790,19148034,12692465,8079551,4049956,9884715
Montserrat,4774256,8564674,5883151,4746579,6903084,8566354,8616652,9181522,6640011,9485273,9708109
Solomon Islands,5438181,5246192,6020700,4953653,6056589,7254847,8933554,6599026,5861309,9898289,9303881
Montenegro,45306063,53185501,34787868,14554803,17673009,12397402,21683955,18179413,11133957,16711327,9148718
Cape Verde,5571564,12247224,6387428,9975829,11462670,7765222,9134281,7283602,7324191,8693747,9146393
Reunion,4753124,8446395,9448244,8214437,154882932,7566899,8774205,11072320,6905271,449559483,8376879
Burundi,6930327,7278372,8688287,14386303,32788844,19939674,16711425,5569408,5650192,8407312,8132760
Vanuatu,23948479,63755418,3903181,18940232,5152275,99515739,34439495,21196729,5867876,7813525,7762425
Syrian Arab Republic,361420332,408864143,303870805,503311144,230164836,19471324,21644824,6845935,3072304,3490887,6961023
Cook Islands,2393727,2790773,1963686,3858635,4604318,5504221,4869141,5325025,4249826,4650187,5243873
Eritrea,6112826,14872461,6735077,2384567,4308872,5863859,13476312,5327596,3497538,3047902,5021254
Kiribati,1149509,7347540,824672,3977797,17667015,4605948,6983607,3293815,7320835,1148626,4928546
Guinea Bissau,6615356,2076775,1511184,3401580,11838657,21095196,6643733,2904280,2135320,3549712,3751655
Andorra,14463888,15723474,9426362,7682080,5161272,2238367,5796907,3789433,3336817,2830268,3285167
Sao Tome and Principe,8414824,3268944,4018129,1358738,6123966,870234,1998050,1088495,853963,1994248,3140792
French Southern Territories,392357,4238293,963568,588625,1425658,1239070,1749592,8251616,8026602,4912096,2842721
East Timor,10930555,5042480,2350110,4325772,8146198,1143436,1365128,1286987,2690584,1617009,2565401
West Bank,13009291,290252,620793,714402,1145816,1521509,894527,1755072,859737,1169369,2192360
San Marino,13890976,9328760,8132793,3990083,2009836,1347152,1873295,5977212,5011879,4653976,2109451
Faroe Islands,2800199,14339798,9870000,2129580,3560628,1627283,2453563,2470184,2336863,2582134,2034537
Svalbard and Jan Mayen Island,926112,2204770,868604,7674628,2052453,125458,1633247,3394498,380164,97888,1986719
Lesotho,7525706,1339723,16630440,11330245,13181171,16514237,571144,2449565,881897,2839262,1901616
Comoros,367032,411481,1631394,1259238,1095278,954373,3491014,3452794,1507078,1349892,1375097
Tokelau Islands,55422404,39335534,12926185,3938459,4886393,13422094,828055,1387753,341222,2474242,1162557
Vatican City,18266111,9275122,7351678,3193465,2291281,4803261,2467299,2573365,2226547,825344,1146853
Tuvalu,51512,130423,151784,620945,724161,612146,560260,591900,625636,1139541,796156
Saint Helena,3279597,2034633,2893506,692094,1901890,4847886,2866797,489827,3720487,746138,587754
West Bank and Gaza,4634860,61183,22823,1830513,47297,105165,178138,169040,183934,169843,555101
Mayotte,243119,57814,1168097,6282489,4572023,11610143,8520110,12087472,5697333,2829427,493107
Falkland Islands (Malvinas),973369,805502,2356305,2718134,3957498,4347073,1241492,7845600,2917708,1484575,482089
Christmas Island,2544078,12981567,925955,1750269,1486081,4053949,466894,168931,1551179,1143404,476695
Cocos (Keeling) Islands,1231015,966209,1440652,728118,957218,932610,22169095,6040796,557620,779466,452079
Western Sahara,344442,91132,158569,53902,31131,58850,156076,276987,32113,93983,418356
Saint Pierre and Miquelon,221553,400795,135133,14691,118559,179852,261629,4364,227459,62460,390569
Wallis and Futuna,212545,706910,535497,778132,338897,602240,637535,350213,376841,225156,300526
Nauru,8140371,11240397,3687213,2492127,499196,2208920,758585,812299,1733650,494811,198927
Norfolk Island,1527492,3952840,864840,661175,1043984,1228303,1730958,829925,350312,122379,138341
Heard Island and Mcdonald Islands,1721670,308427,7113037,3654960,365259,499782,504268,1180334,913419,297004,125829
Niue,1662323,509662,1209612,1570975,716169,771748,249064,111564,71371,75803,86722
North Korea,1728160,52151230,856793,2867073,9405834,11952220,6582817,24028661,4751721,118494,2660
Pitcairn Islands,1894797,0,568212,3683,15696,40527,0,55591,17405,51658,1431
Serbia and Montenegro,0,0,0,0,0,0,0,0,0,0,0
Other Countries,441208607,182997431,233738869,375897966,225387686,175000278,179871109,101833,0,1771484,0
Netherlands Antilles,2082020131,2951625832,2055809980,2943154831,1187093257,0,0,0,0,0,0
East Germany,0,0,0,0,0,0,0,0,0,0,0
